AAPL Apple 1400B 
MSFT Microsoft 1428B 
FB Facebook 605B 
GOOG Alphabet 1017B 
AMZN Amazon 1035B 
INTC Intel 281B 
CSCO Cisco 204B 
CMCSA Comcast 203B 
PEP PepsiCo 202B 
ADBE Adobe 178B 
NVDA Nvidia 163B 
NFLX Netflix 160B 
PYPL PayPal 139B 
COST Costco 138B 
AMGN Amgen 135B 
AVGO Broadcom 126B 
TXN TexasInstruments 120B 
CHTR CharterCommunication 110B 
SBUX Starbucks 99B 
QCOM Qualcomm 99B 
GILD GileadSciences 90B 
MDLZ MondelezInternational 84B 
FISV Fiserv 82B 
BKNG BookingHoldings 80B 
INTU Intuit 77B  
ADP ADP 77B 
CME CMEGroup 76B 
TMUS T-MobileUS 73B 
ISRG IntuitiveSurgical 63B 
MU MicronTechnology 63B 
MRF MadrasRubberFactory 63834Cr
HWA HoneywellAutomation 28564Cr
EM EicherMotors 19220Cr
SHC ShreeCements 18373Cr
Nest Nestle 14351Cr
BOSC Bosch 14128Cr
BOX BombayOxygen 13247Cr
PRG ProctorGamble 11582Cr
ABI AbbottIndia 10949Cr
TBE TastyBiteEatables 10104Cr
REL Reliance 1588Cr
TCS TataConsultancyServices 2038Cr
HDFC HousingDevelopmentFinanceCorporation 983Cr
HUL HindustanUnileverLimited 2106Cr
BHA BharatiAirtel 556Cr
INF Infosys 687Cr
KMB KotakMahindraBank 1248Cr
ITC ImperialTobaccoCompany 508Cr
ICICI IndustrialCreditandInvestmentCorporationofIndia 329Cr
SBI StankOfBank 173Cr
ASP AsianPaints 1608Cr
ASM AvenueSuperMarts 2362Cr
SUP SunPharma 477Cr
IOC IndianOilCorp 86Cr
COI CoalIndia 132Cr
BHP BahratPetroleum 365Cr
HIZ HindustanZinc 173Cr
DAI DaburIndia 453Cr
UTC UltraTechCement 3697Cr
PGC PowerGridCorportion 163Cr
AXB AxisBank 390Cr
DRL Dr.ReddysLab 4023Cr
CIP Cipla 643Cr
ADE AdaniGreenEnergy 342Cr
HMC HeroMotorCorp 2333Cr
EIM EicherMotors 17132Cr
GCP GodrejConsumerProd 600Cr
BRI Britannia 3392Cr
VED Vedanta 103Cr
TAS TataSteel 305Cr
YESB YESBank 29Cr
COP ColgatePalm 1336Cr
TM TataMotors 102Cr
HAV Havells 543Cr
MUF MuthootFinance 963Cr
IGA InterGlobeAviation 1020Cr
PLNG PetronetLNG 259Cr
CHC CadilaHealthCare 374Cr
DLF DelhiLand&Finance 149Cr   
MSI MarutiSuzukiIndia 5445Cr
